tablet,time,kidnapped_time
orange,16/04/2016 22:05:10.11,0.0
orange,16/04/2016 22:05:14.25,0.02
orange,16/04/2016 22:05:15.03,0.02
orange,16/04/2016 22:05:17.09,0.94
orange,16/04/2016 22:05:18.02,0.0
orange,16/04/2016 22:05:28.04,0.02
orange,16/04/2016 22:05:30.04,0.02
orange,16/04/2016 22:05:39.06,0.06
orange,16/04/2016 22:05:49.04,0.03
orange,16/04/2016 22:05:51.03,0.76
orange,16/04/2016 22:05:53.05,0.03
orange,16/04/2016 22:05:56.14,0.12
orange,16/04/2016 22:06:00.07,0.04
orange,16/04/2016 22:06:02.09,0.02
orange,16/04/2016 22:06:03.14,0.01
orange,16/04/2016 22:06:13.00,8.9
orange,16/04/2016 22:06:15.16,0.02
orange,16/04/2016 22:06:26.09,0.0
orange,16/04/2016 22:06:29.02,0.83
orange,16/04/2016 22:06:32.06,0.9
orange,16/04/2016 22:06:32.21,0.09
orange,16/04/2016 22:06:37.05,0.03
orange,16/04/2016 22:06:41.25,0.01
orange,16/04/2016 22:06:43.20,0.11
orange,16/04/2016 22:06:47.03,0.82
orange,16/04/2016 22:06:48.06,0.0
orange,16/04/2016 22:06:51.15,0.14
orange,16/04/2016 22:06:54.26,0.0
orange,16/04/2016 22:06:56.00,0.77
orange,16/04/2016 22:06:58.02,0.79
orange,16/04/2016 22:07:00.22,0.03
orange,16/04/2016 22:07:03.10,0.03
orange,16/04/2016 22:07:06.11,0.04
orange,16/04/2016 22:07:07.10,0.0
orange,16/04/2016 22:07:10.25,0.0
orange,16/04/2016 22:07:11.23,0.03
orange,16/04/2016 22:07:46.01,0.81
orange,16/04/2016 22:07:48.16,0.0
orange,16/04/2016 22:09:00.05,0.84
orange,16/04/2016 22:09:10.01,0.75
orange,16/04/2016 22:09:57.10,3.93
orange,16/04/2016 22:10:33.09,35.89
orange,16/04/2016 22:10:35.12,1.08
orange,16/04/2016 22:11:16.19,0.02
orange,16/04/2016 22:11:19.01,1.0
orange,16/04/2016 22:11:37.20,1.01
orange,16/04/2016 22:11:49.14,0.04
orange,16/04/2016 22:12:26.06,0.01
orange,16/04/2016 22:12:29.12,0.01
orange,16/04/2016 22:12:31.02,0.01
orange,16/04/2016 22:12:32.02,0.75
orange,16/04/2016 22:12:33.19,0.11
orange,16/04/2016 22:12:35.05,0.81
orange,16/04/2016 22:13:09.03,3.03
orange,16/04/2016 22:13:17.09,3.03
orange,16/04/2016 22:13:19.16,0.88
orange,16/04/2016 22:13:20.21,0.01
orange,16/04/2016 22:13:23.00,0.8
orange,16/04/2016 22:13:24.05,0.78
orange,16/04/2016 22:16:31.01,3.94
orange,16/04/2016 22:17:13.09,0.04
orange,16/04/2016 22:17:15.28,0.01
orange,16/04/2016 22:17:18.10,0.02
orange,16/04/2016 22:17:33.02,0.77
orange,16/04/2016 22:17:36.02,0.97
orange,16/04/2016 22:17:43.05,0.82
orange,16/04/2016 22:17:58.09,0.93
orange,16/04/2016 22:18:04.00,3.85
orange,16/04/2016 22:18:04.07,0.0
orange,16/04/2016 22:18:06.19,0.01
orange,16/04/2016 22:18:07.21,0.01
orange,16/04/2016 22:18:08.20,0.02
orange,16/04/2016 22:18:09.03,0.01
orange,16/04/2016 22:18:10.06,0.01
orange,16/04/2016 22:18:14.04,0.02
orange,16/04/2016 22:18:15.03,0.0
orange,16/04/2016 22:18:17.20,0.01
orange,16/04/2016 22:18:19.02,0.01
orange,16/04/2016 22:18:20.15,0.03
orange,16/04/2016 22:18:21.21,0.0
tablet,time,kidnapped_time
green,16/04/2016 12:05:38.01,41.01
