938.0,kidnapped
948.0,kidnapped
948.0,kidnapped
958.0,kidnapped
968.0,kidnapped
978.0,kidnapped
988.0,kidnapped
998.0,kidnapped
1002.0,kidnapped
1013.0,kidnapped
1023.0,kidnapped
1033.0,kidnapped
1043.0,kidnapped
1053.0,kidnapped
1063.0,kidnapped
1070.0,kidnapped
1080.0,kidnapped
1083.0,kidnapped
1094.0,kidnapped
1104.0,kidnapped
1113.0,kidnapped
1123.0,kidnapped
1126.03,returned
1140.07,kidnapped
1140.11,returned
1145.06,kidnapped
1145.06,returned
1148.06,kidnapped
1148.09,returned
1148.19,kidnapped
1149.11,returned
1150.08,kidnapped
1150.11,returned
1151.01,kidnapped
1152.06,returned
1154.23,kidnapped
1154.23,returned
1160.07,kidnapped
1162.07,returned
1164.05,kidnapped
1184.14,returned
1196.19,kidnapped
1197.06,returned
1198.04,kidnapped
1198.08,returned
1213.03,kidnapped
1213.05,returned
1215.25,kidnapped
1217.0,returned
1232.12,kidnapped
1233.01,returned
1236.01,kidnapped
1236.05,returned
1237.2,kidnapped
1238.0,returned
1240.19,kidnapped
1240.21,returned
1242.09,kidnapped
1242.14,returned
1268.19,kidnapped
1268.2,returned
1288.07,kidnapped
1289.05,returned
1307.08,kidnapped
1307.1,returned
1333.08,kidnapped
1345.16,returned
1379.0,kidnapped
1389.0,kidnapped
1391.01,returned
1407.06,kidnapped
1407.09,returned
1424.09,kidnapped
1424.11,returned
1425.06,kidnapped
1426.05,returned
1427.02,kidnapped
1428.03,returned
1451.11,kidnapped
1451.15,returned
1465.27,kidnapped
1466.06,returned
1470.02,kidnapped
1471.04,returned
1507.23,kidnapped
1508.04,returned
1511.12,kidnapped
1514.07,returned
1515.27,kidnapped
1516.0,returned
1534.01,kidnapped
1534.07,returned
1551.16,kidnapped
1551.19,returned
1574.23,kidnapped
1575.14,returned
1617.13,kidnapped
1618.09,returned
1653.01,kidnapped
1653.01,returned
1653.13,kidnapped
1653.16,returned
1655.02,kidnapped
1657.1,returned
1658.11,kidnapped
1659.1,returned
1672.13,kidnapped
1673.05,returned
1679.02,kidnapped
1680.08,returned
1681.2,kidnapped
1681.22,returned
1706.05,kidnapped
1706.05,returned
1729.01,returned
1741.03,kidnapped
1741.09,returned
1782.17,kidnapped
1782.2,returned
1803.02,kidnapped
