16/04/2016 18:32:15.00,75, 155, '-3', 'false'
16/04/2016 18:32:15.00,68, 198, '-3', 'false'
16/04/2016 18:32:15.00,48, 189, '3', 'true'
16/04/2016 18:32:15.00,48, 88, '3', 'true'
16/04/2016 18:32:16.00,75, 155, '-3', 'false'
16/04/2016 18:32:16.00,68, 198, '-3', 'false'
16/04/2016 18:32:16.00,48, 189, '3', 'true'
16/04/2016 18:32:16.00,48, 88, '3', 'true'
16/04/2016 18:32:22.16,75, 155, '-3', 'false'
16/04/2016 18:32:22.16,68, 198, '-3', 'false'
16/04/2016 18:32:22.16,48, 189, '3', 'true'
16/04/2016 18:32:22.16,48, 88, '3', 'true'
16/04/2016 18:34:26.02,65, 145, '-3', 'true'
16/04/2016 18:34:26.02,54, 20, '-3', 'true'
16/04/2016 18:34:26.02,38, 188, '3', 'true'
16/04/2016 18:34:26.02,0, 194, '3', 'true'
16/04/2016 18:36:38.00,31, 87, '-3', 'true'
16/04/2016 18:36:38.00,76, 119, '-3', 'true'
16/04/2016 18:36:38.00,0, 62, '3', 'true'
16/04/2016 18:36:38.00,15, 35, '3', 'true'
16/04/2016 18:43:57.02,56, 15, '-3', 'true'
16/04/2016 18:43:57.02,35, 28, '-3', 'true'
16/04/2016 18:43:57.02,51, 66, '3', 'true'
16/04/2016 18:43:57.02,54, 185, '3', 'true'
16/04/2016 18:45:17.08,42, 92, '-3', 'true'
16/04/2016 18:45:17.08,62, 128, '-3', 'true'
16/04/2016 18:45:17.08,69, 84, '3', 'true'
16/04/2016 18:45:17.08,4, 130, '3', 'true'
16/04/2016 19:05:10.02,31, 157, '-3', 'true'
16/04/2016 19:05:10.02,14, 79, '-3', 'true'
16/04/2016 19:05:10.02,69, 55, '3', 'true'
16/04/2016 19:05:10.02,22, 163, '3', 'true'
16/04/2016 19:10:06.10,31, 157, '-3', 'true'
16/04/2016 19:10:06.10,14, 79, '-3', 'true'
16/04/2016 19:10:06.10,69, 55, '3', 'true'
16/04/2016 19:10:06.10,22, 163, '3', 'true'
16/04/2016 19:11:45.00,31, 157, '-3', 'false'
16/04/2016 19:11:45.00,14, 79, '-3', 'true'
16/04/2016 19:11:45.00,69, 55, '3', 'true'
16/04/2016 19:11:45.00,22, 163, '3', 'true'
16/04/2016 19:12:45.22,31, 157, '-3', 'false'
16/04/2016 19:12:45.22,14, 79, '-3', 'false'
16/04/2016 19:12:45.22,69, 55, '3', 'true'
16/04/2016 19:12:45.22,22, 163, '3', 'false'
16/04/2016 19:13:23.09,31, 157, '-3', 'false'
16/04/2016 19:13:23.09,14, 79, '-3', 'false'
16/04/2016 19:13:23.09,69, 55, '3', 'false'
16/04/2016 19:13:23.09,22, 163, '3', 'false'
16/04/2016 19:13:23.09,32, 169, '-3', 'true'
16/04/2016 19:13:23.09,21, 36, '-3', 'true'
16/04/2016 19:13:23.09,50, 189, '3', 'true'
16/04/2016 19:13:23.09,11, 3, '3', 'true'
16/04/2016 19:14:27.06,31, 157, '-3', 'false'
16/04/2016 19:14:27.06,14, 79, '-3', 'false'
16/04/2016 19:14:27.06,69, 55, '3', 'false'
16/04/2016 19:14:27.06,22, 163, '3', 'false'
16/04/2016 19:14:27.06,32, 169, '-3', 'true'
16/04/2016 19:14:27.06,21, 36, '-3', 'true'
16/04/2016 19:14:27.06,50, 189, '3', 'true'
16/04/2016 19:14:27.06,11, 3, '3', 'true'
16/04/2016 19:15:18.09,31, 157, '-3', 'false'
16/04/2016 19:15:18.09,14, 79, '-3', 'false'
16/04/2016 19:15:18.09,69, 55, '3', 'false'
16/04/2016 19:15:18.09,22, 163, '3', 'false'
16/04/2016 19:15:18.09,32, 169, '-3', 'true'
16/04/2016 19:15:18.09,21, 36, '-3', 'true'
16/04/2016 19:15:18.09,50, 189, '3', 'true'
16/04/2016 19:15:18.09,11, 3, '3', 'true'
16/04/2016 19:16:51.07,31, 157, '-3', 'false'
16/04/2016 19:16:51.07,14, 79, '-3', 'false'
16/04/2016 19:16:51.07,69, 55, '3', 'false'
16/04/2016 19:16:51.07,22, 163, '3', 'false'
16/04/2016 19:16:51.07,32, 169, '-3', 'true'
16/04/2016 19:16:51.07,21, 36, '-3', 'true'
16/04/2016 19:16:51.07,50, 189, '3', 'true'
16/04/2016 19:16:51.07,11, 3, '3', 'true'
16/04/2016 19:18:09.26,31, 157, '-3', 'false'
16/04/2016 19:18:09.26,14, 79, '-3', 'false'
16/04/2016 19:18:09.26,69, 55, '3', 'false'
16/04/2016 19:18:09.26,22, 163, '3', 'false'
16/04/2016 19:18:09.26,32, 169, '-3', 'true'
16/04/2016 19:18:09.26,21, 36, '-3', 'true'
16/04/2016 19:18:09.26,50, 189, '3', 'true'
16/04/2016 19:18:09.26,11, 3, '3', 'true'
16/04/2016 19:18:28.21,31, 157, '-3', 'false'
16/04/2016 19:18:28.21,14, 79, '-3', 'false'
16/04/2016 19:18:28.21,69, 55, '3', 'false'
16/04/2016 19:18:28.21,22, 163, '3', 'false'
16/04/2016 19:18:28.21,32, 169, '-3', 'true'
16/04/2016 19:18:28.21,21, 36, '-3', 'true'
16/04/2016 19:18:28.21,50, 189, '3', 'true'
16/04/2016 19:18:28.21,11, 3, '3', 'true'
16/04/2016 19:19:22.11,31, 157, '-3', 'false'
16/04/2016 19:19:22.11,14, 79, '-3', 'false'
16/04/2016 19:19:22.11,69, 55, '3', 'false'
16/04/2016 19:19:22.11,22, 163, '3', 'false'
16/04/2016 19:19:22.11,32, 169, '-3', 'true'
16/04/2016 19:19:22.11,21, 36, '-3', 'true'
16/04/2016 19:19:22.11,50, 189, '3', 'true'
16/04/2016 19:19:22.11,11, 3, '3', 'true'
16/04/2016 19:22:21.02,31, 157, '-3', 'false'
16/04/2016 19:22:21.02,14, 79, '-3', 'false'
16/04/2016 19:22:21.02,69, 55, '3', 'false'
16/04/2016 19:22:21.02,22, 163, '3', 'false'
16/04/2016 19:22:21.02,32, 169, '-3', 'true'
16/04/2016 19:22:21.02,21, 36, '-3', 'true'
16/04/2016 19:22:21.02,50, 189, '3', 'true'
16/04/2016 19:22:21.02,11, 3, '3', 'true'
16/04/2016 19:23:24.19,31, 157, '-3', 'false'
16/04/2016 19:23:24.19,14, 79, '-3', 'false'
16/04/2016 19:23:24.19,69, 55, '3', 'false'
16/04/2016 19:23:24.19,22, 163, '3', 'false'
16/04/2016 19:23:24.19,32, 169, '-3', 'true'
16/04/2016 19:23:24.19,21, 36, '-3', 'true'
16/04/2016 19:23:24.19,50, 189, '3', 'true'
16/04/2016 19:23:24.19,11, 3, '3', 'true'
16/04/2016 19:24:01.09,31, 157, '-3', 'false'
16/04/2016 19:24:01.09,14, 79, '-3', 'false'
16/04/2016 19:24:01.09,69, 55, '3', 'false'
16/04/2016 19:24:01.09,22, 163, '3', 'false'
16/04/2016 19:24:01.09,32, 169, '-3', 'true'
16/04/2016 19:24:01.09,21, 36, '-3', 'true'
16/04/2016 19:24:01.09,50, 189, '3', 'true'
16/04/2016 19:24:01.09,11, 3, '3', 'true'
16/04/2016 19:25:19.20,31, 157, '-3', 'false'
16/04/2016 19:25:19.20,14, 79, '-3', 'false'
16/04/2016 19:25:19.20,69, 55, '3', 'false'
16/04/2016 19:25:19.20,22, 163, '3', 'false'
16/04/2016 19:25:19.20,32, 169, '-3', 'true'
16/04/2016 19:25:19.20,21, 36, '-3', 'true'
16/04/2016 19:25:19.20,50, 189, '3', 'true'
16/04/2016 19:25:19.20,11, 3, '3', 'true'
16/04/2016 19:25:58.02,31, 157, '-3', 'false'
16/04/2016 19:25:58.02,14, 79, '-3', 'false'
16/04/2016 19:25:58.02,69, 55, '3', 'false'
16/04/2016 19:25:58.02,22, 163, '3', 'false'
16/04/2016 19:25:58.02,32, 169, '-3', 'true'
16/04/2016 19:25:58.02,21, 36, '-3', 'true'
16/04/2016 19:25:58.02,50, 189, '3', 'true'
16/04/2016 19:25:58.02,11, 3, '3', 'true'
16/04/2016 19:26:56.28,31, 157, '-3', 'false'
16/04/2016 19:26:56.28,14, 79, '-3', 'false'
16/04/2016 19:26:56.28,69, 55, '3', 'false'
16/04/2016 19:26:56.28,22, 163, '3', 'false'
16/04/2016 19:26:56.28,32, 169, '-3', 'true'
16/04/2016 19:26:56.28,21, 36, '-3', 'true'
16/04/2016 19:26:56.28,50, 189, '3', 'true'
16/04/2016 19:26:56.28,11, 3, '3', 'true'
16/04/2016 19:27:48.11,31, 157, '-3', 'false'
16/04/2016 19:27:48.11,14, 79, '-3', 'false'
16/04/2016 19:27:48.11,69, 55, '3', 'false'
16/04/2016 19:27:48.11,22, 163, '3', 'false'
16/04/2016 19:27:48.11,32, 169, '-3', 'true'
16/04/2016 19:27:48.11,21, 36, '-3', 'true'
16/04/2016 19:27:48.11,50, 189, '3', 'true'
16/04/2016 19:27:48.11,11, 3, '3', 'true'
16/04/2016 19:29:30.06,31, 157, '-3', 'false'
16/04/2016 19:29:30.06,14, 79, '-3', 'false'
16/04/2016 19:29:30.06,69, 55, '3', 'false'
16/04/2016 19:29:30.06,22, 163, '3', 'false'
16/04/2016 19:29:30.06,32, 169, '-3', 'true'
16/04/2016 19:29:30.06,21, 36, '-3', 'true'
16/04/2016 19:29:30.06,50, 189, '3', 'true'
16/04/2016 19:29:30.06,11, 3, '3', 'true'
16/04/2016 19:30:24.15,31, 157, '-3', 'false'
16/04/2016 19:30:24.15,14, 79, '-3', 'false'
16/04/2016 19:30:24.15,69, 55, '3', 'false'
16/04/2016 19:30:24.15,22, 163, '3', 'false'
16/04/2016 19:30:24.15,32, 169, '-3', 'true'
16/04/2016 19:30:24.15,21, 36, '-3', 'true'
16/04/2016 19:30:24.15,50, 189, '3', 'true'
16/04/2016 19:30:24.15,11, 3, '3', 'true'
16/04/2016 19:30:29.17,31, 157, '-3', 'false'
16/04/2016 19:30:29.17,14, 79, '-3', 'false'
16/04/2016 19:30:29.17,69, 55, '3', 'false'
16/04/2016 19:30:29.17,22, 163, '3', 'false'
16/04/2016 19:30:29.17,32, 169, '-3', 'true'
16/04/2016 19:30:29.17,21, 36, '-3', 'true'
16/04/2016 19:30:29.17,50, 189, '3', 'true'
16/04/2016 19:30:29.17,11, 3, '3', 'true'
16/04/2016 19:32:00.08,31, 157, '-3', 'false'
16/04/2016 19:32:00.08,14, 79, '-3', 'false'
16/04/2016 19:32:00.08,69, 55, '3', 'false'
16/04/2016 19:32:00.08,22, 163, '3', 'false'
16/04/2016 19:32:00.08,32, 169, '-3', 'true'
16/04/2016 19:32:00.08,21, 36, '-3', 'true'
16/04/2016 19:32:00.08,50, 189, '3', 'true'
16/04/2016 19:32:00.08,11, 3, '3', 'true'
16/04/2016 19:32:35.09,31, 157, '-3', 'false'
16/04/2016 19:32:35.09,14, 79, '-3', 'false'
16/04/2016 19:32:35.09,69, 55, '3', 'false'
16/04/2016 19:32:35.09,22, 163, '3', 'false'
16/04/2016 19:32:35.09,32, 169, '-3', 'true'
16/04/2016 19:32:35.09,21, 36, '-3', 'true'
16/04/2016 19:32:35.09,50, 189, '3', 'true'
16/04/2016 19:32:35.09,11, 3, '3', 'true'
16/04/2016 19:34:20.02,31, 157, '-3', 'false'
16/04/2016 19:34:20.02,14, 79, '-3', 'false'
16/04/2016 19:34:20.02,69, 55, '3', 'false'
16/04/2016 19:34:20.02,22, 163, '3', 'false'
16/04/2016 19:34:20.02,32, 169, '-3', 'true'
16/04/2016 19:34:20.02,21, 36, '-3', 'true'
16/04/2016 19:34:20.02,50, 189, '3', 'true'
16/04/2016 19:34:20.02,11, 3, '3', 'true'
16/04/2016 19:34:51.24,31, 157, '-3', 'false'
16/04/2016 19:34:51.24,14, 79, '-3', 'false'
16/04/2016 19:34:51.24,69, 55, '3', 'false'
16/04/2016 19:34:51.24,22, 163, '3', 'false'
16/04/2016 19:34:51.24,32, 169, '-3', 'true'
16/04/2016 19:34:51.24,21, 36, '-3', 'true'
16/04/2016 19:34:51.24,50, 189, '3', 'true'
16/04/2016 19:34:51.24,11, 3, '3', 'true'
16/04/2016 19:35:45.09,31, 157, '-3', 'false'
16/04/2016 19:35:45.09,14, 79, '-3', 'false'
16/04/2016 19:35:45.09,69, 55, '3', 'false'
16/04/2016 19:35:45.09,22, 163, '3', 'false'
16/04/2016 19:35:45.09,32, 169, '-3', 'true'
16/04/2016 19:35:45.09,21, 36, '-3', 'true'
16/04/2016 19:35:45.09,50, 189, '3', 'true'
16/04/2016 19:35:45.09,11, 3, '3', 'true'
16/04/2016 19:37:25.05,31, 157, '-3', 'false'
16/04/2016 19:37:25.05,14, 79, '-3', 'false'
16/04/2016 19:37:25.05,69, 55, '3', 'false'
16/04/2016 19:37:25.05,22, 163, '3', 'false'
16/04/2016 19:37:25.05,32, 169, '-3', 'true'
16/04/2016 19:37:25.05,21, 36, '-3', 'true'
16/04/2016 19:37:25.05,50, 189, '3', 'true'
16/04/2016 19:37:25.05,11, 3, '3', 'true'
16/04/2016 19:37:51.03,31, 157, '-3', 'false'
16/04/2016 19:37:51.03,14, 79, '-3', 'false'
16/04/2016 19:37:51.03,69, 55, '3', 'false'
