16/04/2016 19:49:28.10,30, 63, '-3', 'false'
16/04/2016 19:49:28.10,40, 14, '-3', 'false'
16/04/2016 19:49:28.10,22, 32, '3', 'false'
16/04/2016 19:49:28.10,73, 63, '3', 'false'
16/04/2016 19:49:28.10,62, 108, '-3', 'true'
16/04/2016 19:49:28.10,41, 59, '-3', 'true'
16/04/2016 19:49:28.10,44, 200, '3', 'true'
16/04/2016 19:49:28.10,18, 6, '3', 'true'
16/04/2016 19:49:57.02,6, 82, '-3', 'true'
16/04/2016 19:49:57.02,1, 78, '-3', 'true'
16/04/2016 19:49:57.02,18, 9, '3', 'true'
16/04/2016 19:49:57.02,44, 106, '3', 'true'
16/04/2016 19:51:37.15,6, 82, '-3', 'true'
16/04/2016 19:51:37.15,1, 78, '-3', 'true'
16/04/2016 19:51:37.15,18, 9, '3', 'true'
16/04/2016 19:51:37.15,44, 106, '3', 'true'
16/04/2016 22:03:46.08,19, 24, '-3', 'true'
16/04/2016 22:03:46.08,30, 151, '-3', 'true'
16/04/2016 22:03:46.08,53, 109, '3', 'true'
16/04/2016 22:03:46.08,52, 56, '3', 'true'
16/04/2016 22:05:03.12,19, 24, '-3', 'true'
16/04/2016 22:05:03.12,30, 151, '-3', 'true'
16/04/2016 22:05:03.12,53, 109, '3', 'true'
16/04/2016 22:05:03.12,52, 56, '3', 'false'
16/04/2016 22:05:08.20,19, 24, '-3', 'true'
16/04/2016 22:05:08.20,30, 151, '-3', 'true'
16/04/2016 22:05:08.20,53, 109, '3', 'true'
16/04/2016 22:05:08.20,52, 56, '3', 'false'
16/04/2016 22:06:10.08,19, 24, '-3', 'true'
16/04/2016 22:06:10.08,30, 151, '-3', 'true'
16/04/2016 22:06:10.08,53, 109, '3', 'true'
16/04/2016 22:06:10.08,52, 56, '3', 'false'
16/04/2016 22:06:24.13,19, 24, '-3', 'true'
16/04/2016 22:06:24.13,30, 151, '-3', 'true'
16/04/2016 22:06:24.13,53, 109, '3', 'false'
16/04/2016 22:06:24.13,52, 56, '3', 'false'
16/04/2016 22:07:39.20,19, 24, '-3', 'true'
16/04/2016 22:07:39.20,30, 151, '-3', 'false'
16/04/2016 22:07:39.20,53, 109, '3', 'false'
16/04/2016 22:07:39.20,52, 56, '3', 'false'
16/04/2016 22:09:45.18,19, 24, '-3', 'true'
16/04/2016 22:09:45.18,30, 151, '-3', 'false'
16/04/2016 22:09:45.18,53, 109, '3', 'false'
16/04/2016 22:09:45.18,52, 56, '3', 'false'
16/04/2016 22:10:30.01,13, 19, '-3', 'true'
16/04/2016 22:10:30.01,10, 63, '-3', 'true'
16/04/2016 22:10:30.01,72, 47, '3', 'true'
16/04/2016 22:10:30.01,42, 75, '3', 'true'
16/04/2016 22:13:53.06,13, 19, '-3', 'false'
16/04/2016 22:13:53.06,10, 63, '-3', 'true'
16/04/2016 22:13:53.06,72, 47, '3', 'true'
16/04/2016 22:13:53.06,42, 75, '3', 'true'
16/04/2016 22:14:24.00,13, 19, '-3', 'false'
16/04/2016 22:14:24.00,10, 63, '-3', 'true'
16/04/2016 22:14:24.00,72, 47, '3', 'true'
16/04/2016 22:14:24.00,42, 75, '3', 'true'
16/04/2016 22:16:04.19,13, 19, '-3', 'false'
16/04/2016 22:16:04.19,10, 63, '-3', 'true'
16/04/2016 22:16:04.19,72, 47, '3', 'true'
16/04/2016 22:16:04.19,42, 75, '3', 'true'
16/04/2016 22:18:02.02,13, 19, '-3', 'false'
16/04/2016 22:18:02.02,10, 63, '-3', 'true'
16/04/2016 22:18:02.02,72, 47, '3', 'true'
16/04/2016 22:18:02.02,42, 75, '3', 'true'
