tablet,time,grasped_time
orange,16/04/2016 22:15:12.13,2.04
orange,16/04/2016 22:15:17.24,3.01
orange,16/04/2016 22:15:21.26,2.05
orange,16/04/2016 22:15:27.00,3.86
orange,16/04/2016 22:15:36.04,4.83
orange,16/04/2016 22:15:41.23,3.98
orange,16/04/2016 22:15:44.10,2.87
orange,16/04/2016 22:15:48.00,3.74
orange,16/04/2016 22:15:51.15,2.13
orange,16/04/2016 22:16:17.13,25.84
orange,16/04/2016 22:16:22.19,4.01
orange,16/04/2016 22:16:29.06,4.88
orange,16/04/2016 22:16:33.16,4.05
orange,16/04/2016 22:16:35.21,2.03
orange,16/04/2016 22:16:41.19,2.16
orange,16/04/2016 22:16:46.08,3.91
orange,16/04/2016 22:17:02.14,8.97
orange,16/04/2016 22:17:18.07,6.89
orange,16/04/2016 22:17:20.16,2.04
orange,16/04/2016 22:17:23.15,2.06
orange,16/04/2016 22:17:40.27,9.2
orange,16/04/2016 22:17:47.18,6.18
orange,16/04/2016 22:17:52.13,2.08
orange,16/04/2016 22:18:13.15,20.06
orange,16/04/2016 22:18:17.12,3.96
orange,16/04/2016 22:18:21.09,3.97
tablet,time,grasped_time
green,16/04/2016 12:06:46.01,2.74
green,16/04/2016 12:07:27.12,4.97
green,16/04/2016 12:07:35.18,4.91
green,16/04/2016 12:07:38.05,2.86
green,16/04/2016 12:07:46.10,2.99
green,16/04/2016 12:08:29.17,5.15
green,16/04/2016 12:08:42.12,3.03
green,16/04/2016 12:08:45.07,2.05
green,16/04/2016 12:09:05.02,7.76
green,16/04/2016 12:09:09.04,2.82
green,16/04/2016 12:09:16.09,2.96
green,16/04/2016 12:09:21.12,4.12
green,16/04/2016 12:09:25.13,4.01
green,16/04/2016 12:10:39.08,38.06
green,16/04/2016 12:10:44.09,5.0
green,16/04/2016 12:10:57.06,12.92
green,16/04/2016 12:11:04.21,4.09
green,16/04/2016 12:11:24.19,6.18
green,16/04/2016 12:11:31.12,3.12
green,16/04/2016 12:14:25.08,15.84
green,16/04/2016 12:14:57.00,2.95
green,16/04/2016 12:15:03.10,6.09
green,16/04/2016 12:15:07.01,2.95
green,16/04/2016 12:15:11.18,2.05
green,16/04/2016 12:15:22.21,10.99
green,16/04/2016 12:15:32.20,3.07
green,16/04/2016 12:15:36.02,2.98
green,16/04/2016 12:16:03.20,20.16
green,16/04/2016 12:16:17.24,3.21
green,16/04/2016 12:17:03.12,11.1
green,16/04/2016 12:18:57.01,100.95
green,16/04/2016 12:19:06.24,8.16
green,16/04/2016 12:19:10.11,2.01
green,16/04/2016 12:19:34.11,3.92
green,16/04/2016 12:20:04.03,3.88
green,16/04/2016 12:21:27.03,6.89
green,16/04/2016 12:23:05.02,33.9
green,16/04/2016 12:23:23.10,16.88
green,16/04/2016 12:23:42.05,4.03
green,16/04/2016 12:24:03.13,2.06
green,16/04/2016 12:24:40.18,5.91
green,16/04/2016 12:24:52.05,2.9
green,16/04/2016 12:25:24.15,2.11
green,16/04/2016 12:25:55.10,22.05
green,16/04/2016 12:33:45.21,469.97
green,16/04/2016 12:34:09.18,3.06
green,16/04/2016 12:34:20.17,2.1
green,16/04/2016 12:35:26.19,10.09
green,16/04/2016 12:35:49.17,2.04
green,16/04/2016 12:35:59.02,4.81
green,16/04/2016 12:36:04.25,3.14
green,16/04/2016 12:37:06.16,12.05
green,16/04/2016 12:37:12.13,4.03
green,16/04/2016 12:38:27.12,24.04
green,16/04/2016 12:38:36.03,8.91
green,16/04/2016 12:39:17.16,11.9
green,16/04/2016 12:39:27.24,5.0
green,16/04/2016 12:39:31.19,3.13
green,16/04/2016 12:40:42.01,2.88
green,16/04/2016 12:41:19.10,19.04
green,16/04/2016 12:42:29.19,4.99
green,16/04/2016 12:43:03.26,4.04
green,16/04/2016 12:43:24.12,3.88
